node,lat,lon,x_m,y_m,p_kw
6218,36.324306799999995,139.5820521,372725.106538329,4020852.798288638,25.812672628062753
6219,36.3243769,139.5812682,372654.8534913716,4020861.6065888586,0.0
6220,36.3245431,139.5803073,372568.868608762,4020881.309158085,125.91152787085613
77,36.315996899999995,139.57508950000002,372086.5240771608,4019940.1603053696,107.60827425887928
78,36.3159659,139.5784186,372385.3436083106,4019932.3237449713,7.938315588261307
79,36.31597909999999,139.5793147,372465.8125352402,4019932.606050667,16.926220325357857
80,36.3159716,139.5788598,372424.96165044274,4019932.374002316,14.825786553191865
6225,36.3249638,139.581264,372655.4316252894,4020926.7174525904,26.547076134616937
82,36.3224814,139.5761934,372196.2162973206,4020658.0320671066,6.2289740039011265
83,36.322840799999994,139.5762237,372199.5232109901,4020697.8605942726,33.40175412644282
84,36.3285748,139.5768153,372261.99076760194,4021333.157039684,20.096524335349862
85,36.32755629999999,139.581263,372659.56117935583,4021214.307144371,68.22536649506904
86,36.328128,139.5797192,372521.91852314264,4021279.760615526,5.518538686146353
87,36.32202350000001,139.5833362,372836.6639417076,4020597.8205889524,162.26959202203795
88,36.32336329999999,139.5902077,373455.6713700631,4020737.4317161324,139.90744429130228
